,Country,avg_suicides,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption)
0,Argentina,7.740627467907504,6.574,1.05351,1.24823,0.78723,0.44974,0.08484
1,Armenia,2.647267679902409,4.35,0.76821,0.77711,0.7299,0.19847,0.039
2,Australia,13.610131117224505,7.284,1.33358,1.30923,0.93156,0.65124,0.35637
3,Austria,15.220114981824675,7.2,1.33723,1.29704,0.89042,0.62433,0.18676
4,Belgium,17.57282982610899,6.937,1.30782,1.28566,0.89667,0.5845,0.2254
5,Brazil,5.8418390756235565,6.983,0.98124,1.23287,0.69702,0.49049,0.17521
6,Chile,11.095198067093351,6.67,1.10715,1.12447,0.85857,0.44132,0.12869
7,Colombia,5.241577025098006,6.477,0.91861,1.24018,0.69077,0.53466,0.0512
8,Croatia,18.467294521360962,5.759,1.08254,0.79624,0.78805,0.25883,0.0243
9,Cyprus,5.024892059037456,5.689,1.20813,0.89318,0.92356,0.40672,0.06146
10,Czech Republic,13.884822047535744,6.505,1.17898,1.20643,0.84483,0.46364,0.02652
11,Denmark,10.477312160741288,7.527,1.32548,1.36058,0.87464,0.64938,0.48357
12,Ecuador,7.382676676466201,5.975,0.86402,0.99903,0.79075,0.48574,0.1809
13,Estonia,15.682174594877155,5.429,1.15174,1.22791,0.77361,0.44888,0.15184
14,Finland,14.107075209623225,7.406,1.29025,1.31826,0.88911,0.64169,0.41372
15,Georgia,5.551700208188758,4.297,0.7419,0.38562,0.72926,0.40577,0.38331
16,Germany,12.910709301545344,6.75,1.32792,1.29937,0.89186,0.61477,0.21843
17,Greece,5.120369332530336,4.857,1.15406,0.92933,0.88213,0.07699,0.01397
18,Guatemala,3.4646250907447733,6.123,0.74553,1.04356,0.64425,0.57733,0.09472
19,Hungary,19.894522818474513,4.8,1.12094,1.20215,0.75905,0.32112,0.02758
20,Iceland,12.963695171671732,7.561,1.30232,1.40223,0.94784,0.62877,0.14145
21,Israel,4.5501837369514835,7.278,1.22857,1.22393,0.91387,0.41319,0.07785
22,Italy,6.8619374232946635,5.948,1.25114,1.19777,0.95446,0.26236,0.02901
23,Japan,19.1831764904573,5.987,1.27074,1.25712,0.99111,0.49615,0.1806
24,Kazakhstan,18.35524714650044,5.855,1.12254,1.12241,0.64368,0.51649,0.08454
25,Kyrgyzstan,8.0256713705056,5.286,0.47428,1.15115,0.65088,0.43477,0.04232
26,Latvia,20.634255423290156,5.098,1.11312,1.09562,0.72437,0.29671,0.06332
27,Lithuania,32.5353695052082,5.833,1.14723,1.25745,0.73128,0.21342,0.01031
28,Luxembourg,11.901485454153246,6.946,1.56391,1.21963,0.91894,0.61583,0.37798
29,Malta,8.279818915489837,6.302,1.2074,1.30203,0.88721,0.60365,0.13586
30,Mauritius,9.005514145584527,5.477,1.00761,0.98521,0.7095,0.56066,0.07521
31,Mexico,5.451307581032192,7.187,1.02054,0.91451,0.81444,0.48181,0.21312
32,Netherlands,11.664446083293237,7.378,1.32944,1.28017,0.89284,0.61576,0.31814
33,Nicaragua,5.751866663331192,5.828,0.59325,1.14184,0.74314,0.55475,0.19317
34,Norway,12.082961202021172,7.522,1.459,1.33095,0.88521,0.66973,0.36503
35,Panama,3.069725750701432,6.786,1.06353,1.1985,0.79661,0.5421,0.0927
36,Poland,15.01943589825302,5.791,1.12555,1.27948,0.77903,0.53122,0.04212
37,Qatar,2.8035632439265687,6.611,1.69042,1.0786,0.79733,0.6404,0.52208
38,Romania,11.810902364072973,5.124,1.04345,0.88588,0.7689,0.35068,0.00649
39,Serbia,15.695185893367913,5.123,0.92053,1.00964,0.74836,0.20107,0.02617
40,Singapore,8.846190558775406,6.798,1.52186,1.02,1.02525,0.54252,0.4921
41,Slovenia,21.589741700739577,5.848,1.18498,1.27385,0.87337,0.60855,0.03787
42,South Africa,0.9712364888309818,4.642,0.92049,1.18468,0.27688,0.33207,0.08884
43,Spain,8.156332174367718,6.329,1.23011,1.31379,0.95562,0.45951,0.06398
44,Sweden,12.968312991440913,7.364,1.33171,1.28907,0.91087,0.6598,0.43844
45,Switzerland,13.59518185741353,7.587,1.39651,1.34951,0.94143,0.66557,0.41978
46,Thailand,6.864042466239195,6.455,0.9669,1.26504,0.7385,0.55664,0.03187
47,Turkey,2.131316236355959,5.332,1.06098,0.94632,0.73172,0.22815,0.15746
48,Turkmenistan,2.72177671035016,5.548,0.95847,1.22668,0.53886,0.4761,0.30844
49,Ukraine,18.772874638689085,4.681,0.79907,1.20278,0.6739,0.25123,0.02961
50,United Kingdom,8.038250678888389,6.867,1.26637,1.28548,0.90943,0.59625,0.32067
51,United States,14.72581287235193,7.119,1.39451,1.24711,0.86179,0.54604,0.1589
52,Uruguay,19.74429570060126,6.485,1.06166,1.2089,0.8116,0.60362,0.24558
